reviews,rating,link,title,price_to,price_from,address,phone_number,categories
247,4.0,https://www.yelp.com/biz/alchemy-madison?osq=Restaurants,Alchemy,30,11,"1980 Atwood Ave Madison, WI 53704",(608) 204-7644,"American (New),Burgers"
342,4.0,https://www.yelp.com/biz/sardine-madison?osq=Restaurants,Sardine,30,11,"617 Williamson St Madison, WI 53703",(608) 441-1600,"French,American (New)"
29,4.0,https://www.yelp.com/biz/glorias-mexican-restaurant-madison?osq=Restaurants,Gloria’s Mexican Restaurant,10,0,"610 Junction Rd Madison, WI 53717",(608) 807-5866,Mexican
273,4.0,https://www.yelp.com/biz/brasserie-v-madison?osq=Restaurants,Brasserie V,30,11,"1923 Monroe St Madison, WI 53711",(608) 255-8500,"Belgian,Brasseries"
150,4.5,https://www.yelp.com/biz/oss-madison-2?osq=Restaurants,OSS,10,0,"910 Regent St Madison, WI 53715",(608) 709-1000,"American (New),Comfort Food,Beer Bar"
59,4.0,https://www.yelp.com/biz/morris-ramen-madison?osq=Restaurants,Morris Ramen,30,11,"106 King St Madison, WI 53703",(608) 416-5547,Ramen
281,4.5,https://www.yelp.com/biz/heritage-tavern-madison?osq=Restaurants,Heritage Tavern,60,31,"131 E Mifflin St Madison, WI 53703",(608) 283-9500,"American (New),Gastropubs"
11,4.0,https://www.yelp.com/biz/chili-king-madison-3?osq=Restaurants,Chili King,30,11,"602 South Park St Madison, WI 53715",(608) 422-5666,Chinese
108,4.0,https://www.yelp.com/biz/miko-poke-madison?osq=Restaurants,Miko Poke,30,11,"2701 Monroe St Ste 250 Madison, WI 53711",(608) 416-5241,"Poke,Hawaiian"
396,4.0,https://www.yelp.com/biz/merchant-madison-madison?osq=Restaurants,Merchant Madison,30,11,"121 S Pinckney St Madison, WI 53703",(608) 259-9799,"Cocktail Bars,Wine Bars,American (New)"
814,4.0,https://www.yelp.com/biz/graze-madison?osq=Restaurants,Graze,30,11,"1 S Pinckney St Madison, WI 53703",(608) 251-2700,American (New)
12,4.5,https://www.yelp.com/biz/good-food-low-carb-cafe-madison-2?osq=Restaurants,Good Food Low Carb Cafe,10,0,"4674 Cottage Grove Rd Madison, WI 53716",(608) 630-8400,"Salad,Soup,Wraps"
221,4.5,https://www.yelp.com/biz/la-taguara-madison?osq=Restaurants,La Taguara,30,11,"3502 E Washington Ave Madison, WI 53704",(608) 721-9100,"Venezuelan,Caribbean,Colombian"
167,4.5,https://www.yelp.com/biz/graft-madison?osq=Restaurants,Graft,60,31,"18 N Carroll St Madison, WI 53703",(608) 229-8800,American (New)
1303,4.0,https://www.yelp.com/biz/the-old-fashioned-madison?osq=Restaurants,The Old Fashioned,30,11,"23 N Pinckney St Madison, WI 53703",(608) 310-4545,"American (Traditional),Breakfast & Brunch,Salad"
291,4.5,https://www.yelp.com/biz/pauls-pelmeni-madison?osq=Restaurants,Paul’s Pel’meni,10,0,"203 W Gorham St Madison, WI 53703",(608) 354-1713,Russian
13,5.0,https://www.yelp.com/biz/casetta-kitchen-and-counter-madison?osq=Restaurants,Casetta Kitchen and Counter,30,11,"222 W Washington Ave Ste 30 Madison, WI 53703",(608) 467-8108,"Cocktail Bars,Delis,Italian"
92,4.5,https://www.yelp.com/biz/double-10-mini-hot-pot-madison?osq=Restaurants,Double 10 Mini Hot Pot,30,11,"1272 S Park St Madison, WI 53715",(608) 467-3330,"Hot Pot,Chinese"
310,4.5,https://www.yelp.com/biz/a-pig-in-a-fur-coat-madison?osq=Restaurants,A Pig In a Fur Coat,60,31,"940 Williamson St Madison, WI 53703",(608) 316-3300,"American (New),Tapas Bars,Mediterranean"
45,4.0,https://www.yelp.com/biz/the-madison-blind-madison?osq=Restaurants,The Madison Blind,30,11,"601 Langdon St Madison, WI 53703",(608) 257-4391,"American (New),Bars,Diners"
